have,author,title,release date,book url
,Michael Faust,God Genesis (The Divine Series Book 4),"Sep 22, 2010",https://amazon.com/gp/product/B004477WE2
,Michael Faust,Hegel: The Man Who Would Be God (The Divine Series Book 5),"Sep 30, 2010",https://amazon.com/gp/product/B0045JK1XS
,Michael Faust,How to Become a Hero (The Hero-God Series Book 1),"Oct 8, 2011",https://amazon.com/gp/product/B005U5G9SW
,Michael Faust,How to Become God (The Hero-God Series Book 2),"Oct 8, 2011",https://amazon.com/gp/product/B005U5UJJW
,Michael Faust,"Kabbalah, Hermeticism and M-theory","Oct 16, 2011",https://amazon.com/gp/product/B005WK86S6
,Michael Faust,Mad as Hell: Why Everything is Getting Crazier (The Political Series Book 1),"Sep 22, 2010",https://amazon.com/gp/product/B004477WCE
,Michael Faust,Nietzsche: The God of Groundhog Day (The Divine Series Book 3),"Sep 22, 2010",https://amazon.com/gp/product/B004477WAQ
,Michael Faust,The Case for Meritocracy (The Political Series Book 3),"Dec 2, 2015",https://amazon.com/gp/product/B018W0ULVM
,Michael Faust,The God Within Me (The Divine Series Book 1),"Sep 9, 2010",https://amazon.com/gp/product/B0042JT0I8
,Michael Faust,The Hidden Masters (The Divine Series Book 6),"Oct 3, 2010",https://amazon.com/gp/product/B0045U9QZG
,Michael Faust,The Meritocracy Party (The Political Series Book 2),"Oct 2, 2010",https://amazon.com/gp/product/B0045OUHP0
,Michael Faust,The Quintessence: The Magical Fifth Element (The Divine Series Book 9),"Dec 15, 2010",https://amazon.com/gp/product/B004GHNGK4
,Michael Faust,The Reincarnation of Jesus Christ (The Divine Series Book 8),"Dec 15, 2010",https://amazon.com/gp/product/B004GHNE1U
,Michael Faust,The Right-Brain God (The Divine Series Book 2),"Sep 9, 2010",https://amazon.com/gp/product/B0042JT0OW
,Mike Hockney,All the Rest is Propaganda (The God Series Book 12),"Dec 24, 2013",https://amazon.com/gp/product/B00HIQBRRE
,Mike Hockney,Black Holes Are Souls (The God Series Book 23),"Dec 14, 2014",https://amazon.com/gp/product/B00R1WXQO2
,Mike Hockney,Causation and the Principle of Sufficient Reason (The God Series Book 21),"Nov 3, 2014",https://amazon.com/gp/product/B00P89UES6
,Mike Hockney,Free Will and Will to Power (The God Series Book 17),"Jun 1, 2014",https://amazon.com/gp/product/B00KQ4GNLU
,Mike Hockney,Gödel Versus Wittgenstein (The God Series Book 29),"Aug 11, 2015",https://amazon.com/gp/product/B013T6B5TQ
,Mike Hockney,HyperHumanity (The God Series Book 11),"Apr 30, 2013",https://amazon.com/gp/product/B00CLMWRK6
,Mike Hockney,Hyperreality (The God Series Book 4),"Jul 22, 2012",https://amazon.com/gp/product/B008NYCW1U
,Mike Hockney,Hyperreason (The God Series Book 8),"Dec 20, 2012",https://amazon.com/gp/product/B00ARHXAVW
,Mike Hockney,"Magic, Matter and Qualia (The God Series Book 20)","Sep 10, 2014",https://amazon.com/gp/product/B00NI5UOLO
,Mike Hockney,"Mind and Life, Form and Content (The God Series Book 19)","Aug 11, 2014",https://amazon.com/gp/product/B00MNV9KLY
,Mike Hockney,Ontological Mathematics: How to Create the Universe (The God Series Book 32),"Nov 13, 2015",https://amazon.com/gp/product/B017YFKYJK
,Mike Hockney,Prohibition A (The Coded Series Book 3),"Mar 2, 2010",https://amazon.com/gp/product/B003A4IAJ6
,Mike Hockney,Psychophysics (The God Series Book 27),"May 9, 2015",https://amazon.com/gp/product/B00XGNV0GQ
,Mike Hockney,Richard Dawkins: The Pope of Unreason (The God Series Book 16),"May 27, 2014",https://amazon.com/gp/product/B00KM9SA5G
